timestep,L_acc_x,L_acc_y,L_acc_z,L_gyro_x,L_gyro_y,L_gyro_z,L_pressure_1,L_pressure_2,L_pressure_3,L_pressure_4,L_pressure_5,L_pressure_6,L_pressure_7,L_pressure_8,L_pressure_9,L_pressure_10,L_pressure_11,L_pressure_12,L_pressure_13,L_pressure_14,L_pressure_15,L_pressure_16,L_pressure_17,L_pressure_18,L_pressure_19,L_pressure_20,L_pressure_21,L_pressure_22,L_pressure_23,L_pressure_24,L_pressure_25,L_pressure_26,L_pressure_27,L_pressure_28,L_pressure_29,L_pressure_30,L_pressure_31,L_pressure_32,L_pressure_33,L_pressure_34,L_pressure_35,L_pressure_36,L_pressure_37,L_pressure_38,L_pressure_39,L_pressure_40,R_acc_x,R_acc_y,R_acc_z,R_gyro_x,R_gyro_y,R_gyro_z,R_pressure_1,R_pressure_2,R_pressure_3,R_pressure_4,R_pressure_5,R_pressure_6,R_pressure_7,R_pressure_8,R_pressure_9,R_pressure_10,R_pressure_11,R_pressure_12,R_pressure_13,R_pressure_14,R_pressure_15,R_pressure_16,R_pressure_17,R_pressure_18,R_pressure_19,R_pressure_20,R_pressure_21,R_pressure_22,R_pressure_23,R_pressure_24,R_pressure_25,R_pressure_26,R_pressure_27,R_pressure_28,R_pressure_29,R_pressure_30,R_pressure_31,R_pressure_32,R_pressure_33,R_pressure_34,R_pressure_35,R_pressure_36,R_pressure_37,R_pressure_38,R_pressure_39,R_pressure_40
43.58,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.59,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.6,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.61,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.62,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.63,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.64,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.65,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.66,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.67,-322,-203,-2031,144,123,-27,10,19,75,0,11,36,63,70,6,212,176,212,115,245,94,215,0,0,0,0,239,216,18,105,175,19,193,249,132,88,155,147,160,98,0,169,201,13,234,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
